total,Not_wound,Fibrin,Granulation,Necrosed,image_name
79,0.7586096,0.15521972,0.052000314,0.034170054,09-CON-D07-R.JPG
80,0.7512999,0.16408865,0.05457336,0.030039135,04-CON-D21-R.JPG
81,0.756983,0.142391,0.068370186,0.03225735,10-CON-D04-R.JPG
82,0.69387215,0.12061129,0.14983755,0.035679184,03-CON-D09-R.JPG
83,0.7925139,0.13066605,0.06604525,0.010775418,08-CON-D02-L.JPG
84,0.76778316,0.14260894,0.057194628,0.032413296,10-CON-D02-R.JPG
85,0.7275956,0.14959781,0.07479843,0.04800916,09-CON-D00-R.jpg
86,0.77768177,0.14377423,0.056318473,0.022224318,08-CON-D00-L.jpg
87,0.74714684,0.18136059,0.051111363,0.020380532,07-CON-D11-R.JPG
88,0.7763316,0.17072693,0.028296355,0.024646668,06-CON-D23-L.JPG
89,0.78488463,0.15879086,0.032941304,0.023383096,10-CON-D21-R.JPG
90,0.7567118,0.17733064,0.039410103,0.02654768,05-CON-D25-L.JPG
91,0.775294,0.147475,0.052241594,0.024989098,07-CON-D02-R.JPG
92,0.73654294,0.18628836,0.04293063,0.034238018,06-CON-D18-L.JPG
93,0.78282607,0.08736269,0.12242163,0.007389666,02-CON-D04-L.JPG
94,0.76569,0.15720631,0.046467084,0.03063602,02-CON-D25-L.JPG
95,0.784919,0.13641264,0.063725546,0.014943953,08-CON-D04-L.JPG
96,0.72386485,0.1608571,0.071198,0.04408035,05-CON-D23-L.JPG
97,0.7621312,0.18069884,0.03630107,0.02086878,07-CON-D18-R.JPG
98,0.7437158,0.18203086,0.04512784,0.02912617,10-CON-D14-R.JPG
99,0.76232356,0.1837719,0.031445224,0.022458922,09-CON-D30-R.JPG
100,0.7355815,0.170242,0.056935478,0.037241276,03-CON-D23-R.JPG
101,0.73730016,0.17086938,0.05401965,0.037810434,09-CON-D16-R.JPG
102,0.80414927,0.14169514,0.033680987,0.02047551,06-CON-D04-L.JPG
103,0.7537317,0.15801395,0.05381117,0.034441702,02-CON-D21-L.JPG
104,0.8394682,0.14072376,0.0154105835,0.0043964772,04-CON-D16-R.JPG
105,0.76266026,0.17343295,0.037355233,0.026551701,01-CON-D32-L.JPG
106,0.7124565,0.17601311,0.057879366,0.053652246,09-CON-D23-R.JPG
107,0.7608197,0.13653144,0.061864983,0.040784996,10-CON-D09-R.JPG
108,0.7542858,0.18173845,0.039066628,0.02490788,03-CON-D25-R.JPG
109,0.73377436,0.15404473,0.067784466,0.04439662,09-CON-D09-R.JPG
110,0.7685778,0.17409962,0.032732148,0.024589878,10-CON-D00-R.jpg
111,0.82970387,0.13168807,0.026300522,0.012307983,02-CON-D14-L.JPG
112,0.74203867,0.17290679,0.05347971,0.03157542,02-CON-D28-L.JPG
113,0.74641365,0.14234674,0.08122812,0.03001222,03-CON-D14-R.JPG
114,0.789371,0.0997652,0.10314556,0.007719353,01-CON-D11-L.JPG
115,0.7484374,0.121352896,0.10988514,0.020326123,04-CON-D04-R.JPG
116,0.77969146,0.13710108,0.05809175,0.025115313,09-CON-D04-R.JPG
117,0.6701707,0.17810594,0.08302872,0.0686939,05-CON-D32-L.JPG
118,0.766679,0.19149035,0.026086412,0.015744796,03-CON-D21-R.JPG
119,0.6443842,0.18663743,0.08942105,0.07955706,03-CON-D32-R.JPG
120,0.8004205,0.14764953,0.02876377,0.02316603,10-CON-D25-R.JPG
121,0.7315479,0.14597492,0.084330246,0.038146902,10-CON-D07-R.JPG
122,0.7358068,0.15940104,0.07619184,0.028600693,05-CON-D11-L.JPG
123,0.7794431,0.17428963,0.031121515,0.015146121,01-CON-D28-L.JPG
124,0.7705266,0.14841491,0.060532924,0.020525498,05-CON-D02-L.JPG
125,0.7391386,0.15502575,0.06689264,0.038944207,10-CON-D11-R.JPG
126,0.7486139,0.15630697,0.079371095,0.01570843,08-CON-D09-L.JPG
127,0.80920815,0.15457626,0.026165891,0.0100504765,01-CON-D23-L.JPG
128,0.8202591,0.13147184,0.036000665,0.012268844,02-CON-D02-L.JPG
129,0.8214128,0.10619244,0.06845156,0.003942713,04-CON-D09-R.JPG
130,0.8401663,0.097423784,0.043217823,0.019192621,01-CON-D02-L.JPG
131,0.7836563,0.15472396,0.048298728,0.013321025,04-CON-D02-R.JPG
132,0.80451703,0.11147474,0.07217165,0.011837575,01-CON-D07-L.JPG
133,0.76613533,0.14353167,0.08031919,0.010014378,08-CON-D07-L.JPG
134,0.76854396,0.15108088,0.051375233,0.029000781,08-CON-D16-L.JPG
135,0.82234085,0.10306617,0.06334065,0.011252668,02-CON-D11-L.JPG
